wavelength,intensity
5006.4,0.10587386270078773
5006.402108963092,0.1183535616491088
5006.404217926186,0.12007723315322878
5006.406326889279,0.109533129204758
5006.408435852372,0.09105436046265657
5006.410544815465,0.08831690014664975
5006.412653778559,0.0770118538865369
5006.414762741651,0.20054747271937232
5006.416871704745,0.18662100109343957
5006.418980667838,0.14135143834045033
5006.421089630931,0.2159196325848554
5006.423198594024,0.2153498740327217
5006.425307557118,0.31791381680610026
5006.4274165202105,0.285561819984052
5006.429525483304,0.27549936034480343
5006.431634446397,0.3170050825254322
5006.43374340949,0.288239423349591
5006.435852372583,0.45571046420100414
5006.437961335676,0.3514083791358864
5006.44007029877,0.3867304298095636
5006.442179261862,0.35263646835938917
5006.444288224956,0.3540350987920778
5006.446397188049,0.33035735292825763
5006.448506151142,0.34347886410405815
5006.450615114235,0.4367401037088052
5006.452724077329,0.3638531000586093
5006.454833040421,0.3916003257352014
5006.456942003515,0.3867145389449024
5006.459050966608,0.2898900658373065
5006.461159929701,0.25577970828841007
5006.463268892794,0.33401314925459025
5006.465377855887,0.3978268997643658
5006.46748681898,0.261207001662608
5006.469595782073,0.26053480945038654
5006.471704745167,0.2503364043684012
5006.4738137082595,0.20137075090630718
5006.475922671353,0.25746537245813195
5006.478031634446,0.2259821709599965
5006.4801405975395,0.20291173222768383
5006.482249560632,0.3783868412873108
5006.484358523726,0.29565400688443283
5006.486467486819,0.306719286082399
5006.488576449912,0.327940595796009
5006.490685413005,0.3812081324802597
5006.492794376098,0.41605139388698115
5006.494903339191,0.35571658019424524
5006.497012302284,0.37892588803379734
5006.499121265378,0.4023849206739789
5006.50123022847,0.5036014531144629
5006.503339191564,0.49879005069487276
5006.505448154657,0.46820759962387987
5006.50755711775,0.5401834278253317
5006.509666080843,0.45427609097831745
5006.511775043937,0.5679255430216523
5006.513884007029,0.4725049826667912
5006.515992970123,0.6159459448484521
5006.518101933216,0.5406263923934713
5006.520210896309,0.4965942866286428
5006.522319859402,0.5510493976756057
5006.524428822495,0.5142163909341211
5006.5265377855885,0.4486803891089793
